GeoType,,GeoName,TotalPop,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,exp,expOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,president,presidentOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,citizens,citizensOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose,priority,priorityOppose
State,40,Rhode Island,849888,72.502,14.447,57.987,28.982,60.728,22.005,68.375,7.248,65.966,34.134,73.028,19.934,73.606,18.901,69.69,21.074,65.636,27.517,46.71,46.031,60.028,39.972,47.461,52.773,78.715,20.786,73.945,24.911,67.298,32.332,66.052,33.803,67.739,31.891,78.978,19.955,28.69,71.499,49.761,50.566,77.167,22.813,70.776,11.568,53.099,23.905,62.29,20.279,56.842,17.126,57.965,16.859,65.967,12.225,36.663,63.599,36.551,63.034,56.433,21.589
State,41,South Carolina,3918302,69.521,15.223,52.468,33.517,52.581,24.713,59.725,7.88,61.93,38.113,67.392,20.475,66.747,20.522,64.638,21.926,60.922,27.72,44.514,45.204,56.841,43.159,43.344,56.14,75.722,22.213,69.35,27.892,63.504,35.806,64.249,33.803,62.044,36.895,75.682,22.183,33.005,65.448,52.54,45.8,76.752,22.719,67.416,11.681,50.981,28.678,59.066,23.164,57.795,16.717,59.037,15.974,62.577,13.265,31.578,68.374,28.652,70.565,52.227,25.256
State,42,South Dakota,656527,67.902,18.905,52.455,34.573,51.84,27.373,58.646,8.724,60,39.817,68.577,22.784,67.206,24.041,62.118,25.725,59.259,31.974,39.491,51.848,52.351,47.649,38.587,60.169,76.216,20.89,68.489,28.047,63.225,36.303,63.213,34.807,63.977,33.389,75.088,22.136,35.05,62.98,54.422,42.322,74.72,24.686,67.113,12.091,48.081,30.139,57.202,23.278,52.557,16.299,54.137,16.647,61.16,12.001,31.769,67.915,29.639,69.549,46.103,28.854
State,43,Tennessee,5204434,65.858,17.991,51.054,34.721,49.904,26.888,55.535,8.906,58.773,41.193,64.89,23.399,63.879,23.639,61.022,24.998,59.219,30.61,41.808,47.973,55.139,44.861,40.8,58.65,73.435,24.382,68.129,29.39,59.851,39.412,60.534,37.037,60.235,39.001,74.393,23.259,36.194,62.274,57.226,40.473,74.003,25.735,65.013,12.99,48.295,31.038,56.836,25.399,55.312,17.584,56.69,16.993,60.281,14.375,29.251,70.726,29.511,69.511,48.293,29.898
State,44,Texas,20922413,71.999,14.828,55.831,31.309,54.257,23.67,62.21,7.718,65.468,34.598,69.927,20.255,69.908,20.108,67.534,21.069,64.404,26.315,49.018,42.147,60.025,39.975,46.959,52.849,73.868,24.991,69.508,28.729,63.93,35.768,63.974,34.922,63.586,35.642,75.22,23.608,30.568,69.018,54.447,44.753,76.935,23.108,67.89,13.095,50.857,29.403,59.201,24.24,57.832,17.838,59.922,17.419,63.842,13.992,32.703,67.377,31.083,67.984,56.108,24.973
State,45,Utah,2173266,67.875,19.692,51.176,35.57,53.505,29.24,58.975,8.973,59.961,39.967,66.979,24.907,64.935,25.786,63.225,26.771,59.322,33.194,40.524,52.12,53.618,46.382,39.303,60.04,75.612,22.409,67.719,30.005,60.421,39.199,58.352,38.32,58.381,41.319,75.851,21.968,33.39,65.457,49.911,48.34,73.799,26.161,66.989,11.655,45.469,34.096,54.281,28.212,50.247,19.418,53.045,18.575,61.685,12.027,35.446,64.057,34.883,64.341,46.871,33.374
State,46,Vermont,507659,74.188,13.66,59.471,28.005,63.004,21.641,70.722,6.716,67.208,32.845,75.235,18.578,75.517,17.879,71.206,20.622,66.655,27.52,45.956,48.129,60.747,39.253,48.399,51.826,81.079,18.419,75.713,23.079,70.034,29.769,67.991,31.785,69.808,29.998,80.597,18.536,27.486,72.645,46.372,54.075,78.172,21.791,73.092,10.645,55.023,22.843,64.142,19.47,56.447,17.04,57.567,16.698,67.585,11.355,39.09,61.134,40.406,59.189,56.96,20.907
State,47,Virginia,6588765,74.246,12.45,59.283,28.4,61.107,22.291,67.307,6.421,67.593,32.358,74.211,16.661,72.833,16.804,70.144,18.803,66.264,24.766,47.914,43.327,61.864,38.136,47.561,51.969,79.736,18.335,73.235,24.045,69.422,30.258,69.151,29.21,66.238,32.818,79.112,19.035,29.309,69.922,47.376,51.455,79.619,20.038,72.52,10.905,55.565,25.612,64.29,20.781,59.23,16.942,61.196,15.063,67.152,11.572,37.521,62.469,32.524,66.66,57.473,21.873
State,48,Washington,5760561,75.379,13.464,60.097,27.528,63.94,22.698,69.414,6.575,68.291,31.663,76.802,17.942,76.331,17.724,73.382,19.777,68.805,26.114,48.125,46.025,62.891,37.109,49.26,50.248,78.954,19.203,72.999,24.818,69.846,29.866,67.705,30.449,66.089,32.895,79.092,18.896,25.041,74.415,38.619,60.195,79.324,20.474,73.122,10.576,55.372,26.439,64.007,22.53,53.417,20.656,59.364,17.497,67.79,11.189,42.802,56.981,39.734,59.247,57.626,22.232
State,49,West Virginia,1447865,56.918,26.761,42.603,41.302,42.746,33.935,49.264,10.943,49.865,50.147,57.159,33.657,57.075,31.908,55.053,32.908,50.727,39.745,32.924,57.296,45.077,54.923,29.604,69.659,70.574,29.156,62.749,35.767,47.461,51.894,52.194,46.572,48.189,52.256,73.518,25.46,35.599,63.85,58.184,42.569,66.354,34.257,60.156,12.697,36.856,42.469,45.488,34.861,44.187,21.52,47.203,20.647,54.381,15.207,27.716,72.136,26.612,73.135,38.669,35
State,50,Wisconsin,4509814,69.452,16.7,55.104,32.118,56.383,25.729,63.334,7.983,61.549,38.525,69.982,21.638,70.049,21.218,67.151,23.259,62.011,30.114,42.428,50.084,55.557,44.444,42.199,57.733,77.934,20.632,72.36,25.732,64.875,34.861,64.462,34.944,64.671,34.511,77.503,21.578,31.015,68.397,52.415,46.497,75.73,23.978,68.958,10.552,49.268,28.003,57.588,22.432,54.972,18.173,54.064,16.605,63.178,11.943,33.16,66.707,32.295,66.924,50.344,27.419
State,51,Wyoming,444650,58.285,25.876,43.604,41.558,43.874,34.65,49.339,10.138,52.421,47.246,59.751,30.865,57.21,30.577,53.896,31.887,51.034,39.168,32.913,58.784,43.809,56.191,28.855,69.825,72.362,26.532,62.288,35.223,48.524,50.479,52.711,44.161,48.161,52.1,74.997,24.03,37.433,60.843,59.115,39.797,67.92,32.76,61.87,10.753,36.84,42.006,44.393,35.401,41.323,21.608,45.047,20.144,55.441,11.741,31.651,67.612,29.048,70.493,38.044,38.917
